pattern,horizon_days,period,observations,mean_return,median_return,win_rate,p10,p90,net_mean_vs_hurdle
volatility_contraction_breakout,10,discovery,4400,0.0013489641389217207,-0.00882993154575279,0.4193181818181818,-0.10564183559908753,0.10304986516499044,-0.008873351650551963
volatility_contraction_breakout,10,validation,1377,-0.0026588591644660917,-0.009302316297384206,0.40232389251997097,-0.09476164659370026,0.0916430666274629,-0.012881174953939775
relative_strength_20,10,discovery,72692,0.002827242672553223,-0.0065789411768027994,0.4271996918505475,-0.11594189510540283,0.11793957263778294,-0.0073950731169204606
relative_strength_20,10,validation,26231,0.00616948585408771,0.0,0.46639472380008384,-0.09174313832990855,0.10191080336048697,-0.0040528299353859735
range_expansion_reversal,10,discovery,2870,-0.006610178239889425,0.0,0.4616724738675958,-0.15911104274159332,0.11814130710275218,-0.01683249402936311
range_expansion_reversal,10,validation,1084,0.00909298944735279,0.014391270812884938,0.5710332103321033,-0.09090909323774699,0.10319708111706902,-0.001129326342120894
momentum_60_uptrend,20,discovery,149099,0.006800151959989001,-0.007999992370605447,0.4346575094400365,-0.13761470749486282,0.14666663275824643,-0.003422163829484682
momentum_60_uptrend,20,validation,54938,0.0088534852325362,-0.0036363601684570312,0.4636863373257126,-0.11538457262092644,0.1360892263520201,-0.0013688305569374837
slow_momentum_12_1,20,discovery,156793,0.005888478164292783,-0.005555550404536702,0.44581709642649864,-0.1268213160090495,0.12972515168748008,-0.0043338376251809
slow_momentum_12_1,20,validation,64103,0.008164235943421609,0.0,0.4689796109386456,-0.10388259715014929,0.121093730354914,-0.0020580798460520747
pullback_in_uptrend,20,discovery,24450,0.0031335943836960692,-0.0083333250549108,0.43427402862985687,-0.13637215394924065,0.14423107138772956,-0.007088721405777614
pullback_in_uptrend,20,validation,8282,0.004116948819749367,-0.00826445466776271,0.43878290268051195,-0.1250000279396768,0.12799619552991248,-0.0061053669697243166
reversal_bottom10,20,discovery,13561,-0.0026231481644802216,-0.012578604092237433,0.4223139886439053,-0.18181818181818177,0.1645962629442963,-0.012845463953953905
reversal_bottom10,20,validation,5444,0.002736641045730826,-0.0076824637119913275,0.44268919911829535,-0.13305012272383665,0.1261646319980932,-0.0074856747437428576
panic_reversal_volume,20,discovery,1586,-0.023081259513366585,-0.03488490132522787,0.37578814627994955,-0.24999999068677442,0.18627679434282618,-0.03330357530284027
panic_reversal_volume,20,validation,494,-0.004805741360429468,0.0,0.4757085020242915,-0.1421350307459324,0.1321733427194076,-0.015028057149903152
relative_reversal_bottom20,20,discovery,21517,0.0032197015150744455,-0.009090900552502501,0.43054329135102476,-0.15039257770807357,0.15107916309796363,-0.0070026142743992385
relative_reversal_bottom20,20,validation,7586,0.0023931668036334076,-0.009737149106852694,0.42762984445030316,-0.13235298887049818,0.12745097810055184,-0.007829148985840275
breakout_plus_volume,20,discovery,19548,0.0009491540874527199,-0.016949137131806236,0.4107325557601801,-0.15557760076422758,0.15909084763901513,-0.009273161702020964
breakout_plus_volume,20,validation,6621,0.013202077582897874,-0.006249993946403354,0.4597492825857121,-0.12179483652584988,0.15697673048568217,0.00297976179342419
volatility_contraction_breakout,20,discovery,4402,0.004239105334059488,-0.013675240258826493,0.41935483870967744,-0.13333339081869947,0.1519515503295748,-0.005983210455414195
volatility_contraction_breakout,20,validation,1372,-0.0010058919859752432,-0.012320514282128436,0.4227405247813411,-0.12033337520228331,0.12655571444694255,-0.011228207775448926
relative_strength_20,20,discovery,72706,0.0024974156983782842,-0.011904750923180218,0.42388523643165626,-0.1619047283855951,0.1656441625812396,-0.007724900091095399
relative_strength_20,20,validation,26218,0.011139944590260168,-0.00607909219684627,0.46010374551834615,-0.13034856213067225,0.15265522740676432,0.0009176288007864842
range_expansion_reversal,20,discovery,2865,-0.0073895403014704415,-0.00859598031741915,0.4457242582897033,-0.19198036070006405,0.16280993889895382,-0.017611856090944126
