pattern,observations,mean_return,net_mean,win_rate,horizon_days,period
momentum_60_3_ma100,44865,0.0006398296266989205,-0.009582486162774764,0.4347709796054831,20,selection
momentum_60_3_ma100,61641,0.008880531693938829,-0.0013417840955348547,0.46569653315163606,20,holdout
momentum_60_3_ma100,120998,0.014954116918771753,0.0047318011292980695,0.43172614423378897,40,development
momentum_60_3_ma100,44865,0.0010129924689732223,-0.009209323320500461,0.43771313941825474,40,selection
momentum_60_3_ma100,61470,0.011861624373383655,0.0016393085839099715,0.45531153408166586,40,holdout
momentum_60_3_ma200,104672,0.002575440165267675,-0.007646875624206009,0.4296851115866707,5,development
momentum_60_3_ma200,39825,0.001303851403307425,-0.008918464386166258,0.4455743879472693,5,selection
momentum_60_3_ma200,56802,0.0026624313365155093,-0.007559884452958174,0.4635752262244287,5,holdout
momentum_60_3_ma200,104663,0.00615144309887006,-0.0040708726906036235,0.44168426282449386,10,development
momentum_60_3_ma200,39825,0.0021425855536803783,-0.008079730235793305,0.4492404268675455,10,selection
momentum_60_3_ma200,56812,0.004825284041338278,-0.005397031748135405,0.47160811096247274,10,holdout
momentum_60_3_ma200,104660,0.011931463726059853,0.0017091479365861691,0.4447926619529906,20,development
momentum_60_3_ma200,39825,0.0031212056563316216,-0.007101110133142062,0.44605147520401756,20,selection
momentum_60_3_ma200,56793,0.009605337903146027,-0.0006169778863276566,0.47143133836916523,20,holdout
momentum_60_3_ma200,104668,0.022594552388794528,0.012372236599320845,0.44388924981847366,40,development
momentum_60_3_ma200,39825,0.004737416653466016,-0.0054848991360076675,0.44951663527934715,40,selection
momentum_60_3_ma200,56628,0.013089234269098237,0.002866918479624553,0.4594900049445504,40,holdout
momentum_60_5_ma100,109603,0.001937119458749136,-0.008285196330724547,0.42576389332408787,5,development
momentum_60_5_ma100,39614,0.000367586446157008,-0.009854729343316675,0.44022315343060536,5,selection
momentum_60_5_ma100,54946,0.002386949878123833,-0.00783536591134985,0.4581771193535471,5,holdout
momentum_60_5_ma100,109590,0.004818146225542871,-0.005404169563930812,0.4359521854183776,10,development
momentum_60_5_ma100,39614,0.0005397629050181348,-0.00968255288445555,0.4382036653708285,10,selection
momentum_60_5_ma100,54958,0.004235464532610451,-0.005986851256863233,0.4641726409257979,10,holdout
momentum_60_5_ma100,109595,0.009186144448926016,-0.0010361713405476671,0.4363064008394544,20,development
momentum_60_5_ma100,39614,0.00012165443106715972,-0.010100661358406524,0.43020144393396276,20,selection
momentum_60_5_ma100,54941,0.008850933971360374,-0.0013713818181133094,0.46367921952640107,20,holdout
momentum_60_5_ma100,109602,0.01608966208173573,0.005867346292262047,0.43136986551340306,40,development
momentum_60_5_ma100,39614,-0.0002255602864807047,-0.010447876075954389,0.4329782400161559,40,selection
momentum_60_5_ma100,54793,0.011523031554219491,0.0013007157647458075,0.45222929936305734,40,holdout
momentum_60_5_ma200,95451,0.00270634180639363,-0.007515973983080054,0.4295921467559271,5,development
momentum_60_5_ma200,35347,0.0012599493317542432,-0.00896236645771944,0.4476758989447478,5,selection
momentum_60_5_ma200,50988,0.0028086090455508553,-0.007413706743922829,0.46246175570722525,5,holdout
momentum_60_5_ma200,95442,0.006407907932888426,-0.0038144078565852573,0.4410427275203789,10,development
momentum_60_5_ma200,35347,0.002048929466329969,-0.008173386323143714,0.44750615328033494,10,selection
momentum_60_5_ma200,51003,0.004972388779794815,-0.0052499270096788685,0.47007038801639117,10,holdout
momentum_60_5_ma200,95441,0.012464789092481186,0.002242473303007503,0.4442430402028478,20,development
momentum_60_5_ma200,35347,0.0025880418964629288,-0.007634273893010754,0.44105581803264776,20,selection
momentum_60_5_ma200,50980,0.009740129831612938,-0.00048218595786074514,0.46867398979992153,20,holdout
momentum_60_5_ma200,95448,0.023555992145433476,0.013333676355959792,0.44362375324784176,40,development
momentum_60_5_ma200,35347,0.0033227041031359686,-0.006899611686337715,0.44419611282428495,40,selection
momentum_60_5_ma200,50837,0.012888111923413274,0.00266579613393959,0.4559671105690737,40,holdout
momentum_60_10_ma100,85830,0.002124100801393064,-0.00809821498808062,0.42564371431900266,5,development
momentum_60_10_ma100,29040,0.0005374039281769786,-0.009684911861296705,0.43922176308539945,5,selection
momentum_60_10_ma100,40956,0.0026039981263879797,-0.007618317663085704,0.4570026369762672,5,holdout
momentum_60_10_ma100,85822,0.005707187416523984,-0.004515128372949699,0.43679942205961175,10,development
momentum_60_10_ma100,29040,0.0004816910048058242,-0.00974062478466786,0.43553719008264463,10,selection
momentum_60_10_ma100,40969,0.0046697939811731985,-0.005552521808300485,0.4617881813078181,10,holdout
momentum_60_10_ma100,85823,0.011159685853907413,0.0009373700644337291,0.43720214860818196,20,development
momentum_60_10_ma100,29040,-0.0008896291120139943,-0.011111944901487678,0.4238636363636364,20,selection
